LineId,Date,Time,Level,Component,Content,EventId,EventTemplate
19,2026-01-15,21:24:48,ERROR,AuthService,AuthService unavailable: 503 Service Unavailable,E503,AuthService unavailable: 503 Service Unavailable
20,2026-01-15,21:26:44,WARN,System,High latency detected from IP 10.0.0.32,E202,High latency detected from IP {ip}
21,2026-01-15,21:27:15,INFO,System,Health check status: OK,E101,Health check status: OK
22,2026-01-15,21:29:12,INFO,System,Health check status: OK,E101,Health check status: OK
23,2026-01-15,21:30:54,INFO,System,Health check status: OK,E101,Health check status: OK
24,2026-01-15,21:32:26,INFO,System,Health check status: OK,E101,Health check status: OK
25,2026-01-15,21:34:15,WARN,System,High latency detected from IP 10.0.0.8,E202,High latency detected from IP {ip}
26,2026-01-15,21:35:36,ERROR,AuthService,AuthService unavailable: 503 Service Unavailable,E503,AuthService unavailable: 503 Service Unavailable
27,2026-01-15,21:37:04,WARN,System,High latency detected from IP 10.0.0.32,E202,High latency detected from IP {ip}
28,2026-01-15,21:37:42,CRITICAL,InventoryDB,Connection refused to database InventoryDB at 10.0.0.17,E501,Connection refused to database InventoryDB at {ip}
29,2026-01-15,21:39:31,CRITICAL,InventoryDB,Connection refused to database InventoryDB at 10.0.0.32,E501,Connection refused to database InventoryDB at {ip}
30,2026-01-15,21:40:37,CRITICAL,InventoryDB,Connection refused to database InventoryDB at 10.0.0.32,E501,Connection refused to database InventoryDB at {ip}
31,2026-01-15,21:42:34,CRITICAL,InventoryDB,Connection refused to database InventoryDB at 10.0.0.32,E501,Connection refused to database InventoryDB at {ip}
32,2026-01-15,21:43:42,CRITICAL,InventoryDB,Connection refused to database InventoryDB at 10.0.0.32,E501,Connection refused to database InventoryDB at {ip}
33,2026-01-15,21:44:11,CRITICAL,InventoryDB,Connection refused to database InventoryDB at 10.0.0.32,E501,Connection refused to database InventoryDB at {ip}
34,2026-01-15,21:44:21,ERROR,AuthService,AuthService unavailable: 503 Service Unavailable,E503,AuthService unavailable: 503 Service Unavailable
35,2026-01-15,21:44:35,CRITICAL,InventoryDB,Connection refused to database InventoryDB at 10.0.0.32,E501,Connection refused to database InventoryDB at {ip}
36,2026-01-15,21:46:23,INFO,System,Health check status: OK,E101,Health check status: OK
37,2026-01-15,21:47:50,INFO,System,Health check status: OK,E101,Health check status: OK
38,2026-01-15,21:48:48,ERROR,AuthService,AuthService unavailable: 503 Service Unavailable,E503,AuthService unavailable: 503 Service Unavailable
39,2026-01-15,21:48:53,CRITICAL,InventoryDB,Connection refused to database InventoryDB at 10.0.0.32,E501,Connection refused to database InventoryDB at {ip}
40,2026-01-15,21:49:00,INFO,System,Health check status: OK,E101,Health check status: OK
41,2026-01-15,21:50:33,WARN,System,High latency detected from IP 10.0.0.32,E202,High latency detected from IP {ip}
42,2026-01-15,21:50:59,ERROR,AuthService,AuthService unavailable: 503 Service Unavailable,E503,AuthService unavailable: 503 Service Unavailable
43,2026-01-15,21:51:28,CRITICAL,InventoryDB,Connection refused to database InventoryDB at 10.0.0.32,E501,Connection refused to database InventoryDB at {ip}
44,2026-01-15,21:51:41,CRITICAL,InventoryDB,Connection refused to database InventoryDB at 10.0.0.32,E501,Connection refused to database InventoryDB at {ip}
45,2026-01-15,21:52:53,WARN,System,High latency detected from IP 10.0.0.32,E202,High latency detected from IP {ip}
46,2026-01-15,21:53:17,INFO,System,Health check status: OK,E101,Health check status: OK
47,2026-01-15,21:54:04,CRITICAL,InventoryDB,Connection refused to database InventoryDB at 10.0.0.8,E501,Connection refused to database InventoryDB at {ip}
48,2026-01-15,21:54:37,WARN,System,High latency detected from IP 10.0.0.32,E202,High latency detected from IP {ip}
49,2026-01-15,21:56:11,WARN,System,High latency detected from IP 10.0.0.32,E202,High latency detected from IP {ip}
50,2026-01-15,21:57:08,CRITICAL,InventoryDB,Connection refused to database InventoryDB at 10.0.0.32,E501,Connection refused to database InventoryDB at {ip}
51,2026-01-15,21:58:03,WARN,System,High latency detected from IP 10.0.0.32,E202,High latency detected from IP {ip}
52,2026-01-15,21:59:21,WARN,System,High latency detected from IP 10.0.0.32,E202,High latency detected from IP {ip}
53,2026-01-15,22:01:03,INFO,System,Health check status: OK,E101,Health check status: OK
54,2026-01-15,22:01:11,INFO,System,Health check status: OK,E101,Health check status: OK
55,2026-01-15,22:01:29,WARN,System,High latency detected from IP 10.0.0.32,E202,High latency detected from IP {ip}
56,2026-01-15,22:01:42,CRITICAL,InventoryDB,Connection refused to database InventoryDB at 10.0.0.32,E501,Connection refused to database InventoryDB at {ip}
57,2026-01-15,22:03:37,CRITICAL,InventoryDB,Connection refused to database InventoryDB at 10.0.0.32,E501,Connection refused to database InventoryDB at {ip}
58,2026-01-15,22:05:25,WARN,System,High latency detected from IP 10.0.0.32,E202,High latency detected from IP {ip}
59,2026-01-15,22:06:29,INFO,System,Health check status: OK,E101,Health check status: OK
60,2026-01-15,22:08:01,WARN,System,High latency detected from IP 10.0.0.32,E202,High latency detected from IP {ip}
61,2026-01-15,22:08:02,INFO,System,Health check status: OK,E101,Health check status: OK
62,2026-01-15,22:09:53,INFO,System,Health check status: OK,E101,Health check status: OK
63,2026-01-15,22:10:39,INFO,System,Health check status: OK,E101,Health check status: OK
64,2026-01-15,22:12:00,WARN,System,High latency detected from IP 10.0.0.32,E202,High latency detected from IP {ip}
65,2026-01-15,22:13:36,ERROR,AuthService,AuthService unavailable: 503 Service Unavailable,E503,AuthService unavailable: 503 Service Unavailable
66,2026-01-15,22:14:42,INFO,System,Health check status: OK,E101,Health check status: OK
67,2026-01-15,22:16:28,CRITICAL,InventoryDB,Connection refused to database InventoryDB at 10.0.0.32,E501,Connection refused to database InventoryDB at {ip}
68,2026-01-15,22:18:17,CRITICAL,InventoryDB,Connection refused to database InventoryDB at 10.0.0.32,E501,Connection refused to database InventoryDB at {ip}
69,2026-01-15,22:18:36,ERROR,AuthService,AuthService unavailable: 503 Service Unavailable,E503,AuthService unavailable: 503 Service Unavailable
70,2026-01-15,22:19:03,CRITICAL,InventoryDB,Connection refused to database InventoryDB at 10.0.0.32,E501,Connection refused to database InventoryDB at {ip}
71,2026-01-15,22:19:43,WARN,System,High latency detected from IP 10.0.0.32,E202,High latency detected from IP {ip}
72,2026-01-15,22:20:27,ERROR,AuthService,AuthService unavailable: 503 Service Unavailable,E503,AuthService unavailable: 503 Service Unavailable
73,2026-01-15,22:22:04,WARN,System,High latency detected from IP 10.0.0.49,E202,High latency detected from IP {ip}
74,2026-01-15,22:23:35,WARN,System,High latency detected from IP 10.0.0.32,E202,High latency detected from IP {ip}
75,2026-01-15,22:24:16,CRITICAL,InventoryDB,Connection refused to database InventoryDB at 10.0.0.32,E501,Connection refused to database InventoryDB at {ip}
76,2026-01-15,22:26:12,INFO,System,Health check status: OK,E101,Health check status: OK
77,2026-01-15,22:26:34,WARN,System,High latency detected from IP 10.0.0.32,E202,High latency detected from IP {ip}
78,2026-01-15,22:26:57,CRITICAL,InventoryDB,Connection refused to database InventoryDB at 10.0.0.32,E501,Connection refused to database InventoryDB at {ip}
79,2026-01-15,22:27:58,CRITICAL,InventoryDB,Connection refused to database InventoryDB at 10.0.0.49,E501,Connection refused to database InventoryDB at {ip}
80,2026-01-15,22:27:59,ERROR,AuthService,AuthService unavailable: 503 Service Unavailable,E503,AuthService unavailable: 503 Service Unavailable
81,2026-01-15,22:29:55,CRITICAL,InventoryDB,Connection refused to database InventoryDB at 10.0.0.32,E501,Connection refused to database InventoryDB at {ip}
82,2026-01-15,22:30:52,CRITICAL,InventoryDB,Connection refused to database InventoryDB at 10.0.0.32,E501,Connection refused to database InventoryDB at {ip}
83,2026-01-15,22:32:01,WARN,System,High latency detected from IP 10.0.0.32,E202,High latency detected from IP {ip}
84,2026-01-15,22:33:43,INFO,System,Health check status: OK,E101,Health check status: OK
85,2026-01-15,22:35:32,ERROR,AuthService,AuthService unavailable: 503 Service Unavailable,E503,AuthService unavailable: 503 Service Unavailable
86,2026-01-15,22:37:02,CRITICAL,InventoryDB,Connection refused to database InventoryDB at 10.0.0.32,E501,Connection refused to database InventoryDB at {ip}
87,2026-01-15,22:38:47,INFO,System,Health check status: OK,E101,Health check status: OK
88,2026-01-15,22:38:48,CRITICAL,InventoryDB,Connection refused to database InventoryDB at 10.0.0.32,E501,Connection refused to database InventoryDB at {ip}
89,2026-01-15,22:40:15,WARN,System,High latency detected from IP 10.0.0.32,E202,High latency detected from IP {ip}
90,2026-01-15,22:42:06,INFO,System,Health check status: OK,E101,Health check status: OK
91,2026-01-15,22:42:56,INFO,System,Health check status: OK,E101,Health check status: OK
92,2026-01-15,22:43:20,CRITICAL,InventoryDB,Connection refused to database InventoryDB at 10.0.0.49,E501,Connection refused to database InventoryDB at {ip}
93,2026-01-15,22:44:13,WARN,System,High latency detected from IP 10.0.0.32,E202,High latency detected from IP {ip}
94,2026-01-15,22:44:40,INFO,System,Health check status: OK,E101,Health check status: OK
95,2026-01-15,22:46:21,CRITICAL,InventoryDB,Connection refused to database InventoryDB at 10.0.0.49,E501,Connection refused to database InventoryDB at {ip}
96,2026-01-15,22:47:12,ERROR,AuthService,AuthService unavailable: 503 Service Unavailable,E503,AuthService unavailable: 503 Service Unavailable
97,2026-01-15,22:47:13,ERROR,AuthService,AuthService unavailable: 503 Service Unavailable,E503,AuthService unavailable: 503 Service Unavailable
98,2026-01-15,22:49:03,CRITICAL,InventoryDB,Connection refused to database InventoryDB at 10.0.0.32,E501,Connection refused to database InventoryDB at {ip}
99,2026-01-15,22:49:51,INFO,System,Health check status: OK,E101,Health check status: OK
100,2026-01-15,22:50:36,CRITICAL,InventoryDB,Connection refused to database InventoryDB at 10.0.0.32,E501,Connection refused to database InventoryDB at {ip}
101,2026-01-15,22:51:44,INFO,System,Health check status: OK,E101,Health check status: OK
102,2026-01-15,22:51:57,INFO,System,Health check status: OK,E101,Health check status: OK
103,2026-01-15,22:53:44,CRITICAL,InventoryDB,Connection refused to database InventoryDB at 10.0.0.32,E501,Connection refused to database InventoryDB at {ip}
104,2026-01-15,22:53:57,INFO,System,Health check status: OK,E101,Health check status: OK
105,2026-01-15,22:54:03,CRITICAL,InventoryDB,Connection refused to database InventoryDB at 10.0.0.49,E501,Connection refused to database InventoryDB at {ip}
106,2026-01-15,22:55:26,CRITICAL,InventoryDB,Connection refused to database InventoryDB at 10.0.0.32,E501,Connection refused to database InventoryDB at {ip}
107,2026-01-15,22:55:31,CRITICAL,InventoryDB,Connection refused to database InventoryDB at 10.0.0.32,E501,Connection refused to database InventoryDB at {ip}
108,2026-01-15,22:57:23,INFO,System,Health check status: OK,E101,Health check status: OK
109,2026-01-15,22:58:29,CRITICAL,InventoryDB,Connection refused to database InventoryDB at 10.0.0.32,E501,Connection refused to database InventoryDB at {ip}
110,2026-01-15,22:59:16,INFO,System,Health check status: OK,E101,Health check status: OK
111,2026-01-15,23:00:09,CRITICAL,InventoryDB,Connection refused to database InventoryDB at 10.0.0.17,E501,Connection refused to database InventoryDB at {ip}
112,2026-01-15,23:00:17,WARN,System,High latency detected from IP 10.0.0.8,E202,High latency detected from IP {ip}
113,2026-01-15,23:00:24,WARN,System,High latency detected from IP 10.0.0.32,E202,High latency detected from IP {ip}
114,2026-01-15,23:02:23,CRITICAL,InventoryDB,Connection refused to database InventoryDB at 10.0.0.49,E501,Connection refused to database InventoryDB at {ip}
115,2026-01-15,23:03:01,INFO,System,Health check status: OK,E101,Health check status: OK
116,2026-01-15,23:04:22,INFO,System,Health check status: OK,E101,Health check status: OK
117,2026-01-15,23:04:40,INFO,System,Health check status: OK,E101,Health check status: OK
118,2026-01-15,23:05:24,CRITICAL,InventoryDB,Connection refused to database InventoryDB at 10.0.0.32,E501,Connection refused to database InventoryDB at {ip}
119,2026-01-15,23:05:47,INFO,System,Health check status: OK,E101,Health check status: OK
120,2026-01-15,23:07:20,CRITICAL,InventoryDB,Connection refused to database InventoryDB at 10.0.0.32,E501,Connection refused to database InventoryDB at {ip}
121,2026-01-15,23:08:42,CRITICAL,InventoryDB,Connection refused to database InventoryDB at 10.0.0.32,E501,Connection refused to database InventoryDB at {ip}
122,2026-01-15,23:09:02,WARN,System,High latency detected from IP 10.0.0.32,E202,High latency detected from IP {ip}
123,2026-01-15,23:09:19,INFO,System,Health check status: OK,E101,Health check status: OK
124,2026-01-15,23:09:20,WARN,System,High latency detected from IP 10.0.0.32,E202,High latency detected from IP {ip}
125,2026-01-15,23:09:40,INFO,System,Health check status: OK,E101,Health check status: OK
126,2026-01-15,23:10:37,CRITICAL,InventoryDB,Connection refused to database InventoryDB at 10.0.0.49,E501,Connection refused to database InventoryDB at {ip}
127,2026-01-15,23:12:22,CRITICAL,InventoryDB,Connection refused to database InventoryDB at 10.0.0.32,E501,Connection refused to database InventoryDB at {ip}
128,2026-01-15,23:12:45,ERROR,AuthService,AuthService unavailable: 503 Service Unavailable,E503,AuthService unavailable: 503 Service Unavailable
129,2026-01-15,23:13:22,CRITICAL,InventoryDB,Connection refused to database InventoryDB at 10.0.0.32,E501,Connection refused to database InventoryDB at {ip}
130,2026-01-15,23:14:46,CRITICAL,InventoryDB,Connection refused to database InventoryDB at 10.0.0.32,E501,Connection refused to database InventoryDB at {ip}
131,2026-01-15,23:16:43,CRITICAL,InventoryDB,Connection refused to database InventoryDB at 10.0.0.32,E501,Connection refused to database InventoryDB at {ip}
132,2026-01-15,23:17:16,INFO,System,Health check status: OK,E101,Health check status: OK
133,2026-01-15,23:17:53,INFO,System,Health check status: OK,E101,Health check status: OK
134,2026-01-15,23:18:15,CRITICAL,InventoryDB,Connection refused to database InventoryDB at 10.0.0.49,E501,Connection refused to database InventoryDB at {ip}
135,2026-01-15,23:19:39,WARN,System,High latency detected from IP 10.0.0.32,E202,High latency detected from IP {ip}
136,2026-01-15,23:21:05,CRITICAL,InventoryDB,Connection refused to database InventoryDB at 10.0.0.32,E501,Connection refused to database InventoryDB at {ip}
137,2026-01-15,23:22:32,INFO,System,Health check status: OK,E101,Health check status: OK
138,2026-01-15,23:24:06,WARN,System,High latency detected from IP 10.0.0.49,E202,High latency detected from IP {ip}
139,2026-01-15,23:24:09,CRITICAL,InventoryDB,Connection refused to database InventoryDB at 10.0.0.32,E501,Connection refused to database InventoryDB at {ip}
140,2026-01-15,23:24:51,ERROR,AuthService,AuthService unavailable: 503 Service Unavailable,E503,AuthService unavailable: 503 Service Unavailable
141,2026-01-15,23:26:00,INFO,System,Health check status: OK,E101,Health check status: OK
142,2026-01-15,23:27:14,CRITICAL,InventoryDB,Connection refused to database InventoryDB at 10.0.0.32,E501,Connection refused to database InventoryDB at {ip}
143,2026-01-15,23:27:53,CRITICAL,InventoryDB,Connection refused to database InventoryDB at 10.0.0.32,E501,Connection refused to database InventoryDB at {ip}
144,2026-01-15,23:29:23,INFO,System,Health check status: OK,E101,Health check status: OK
145,2026-01-15,23:29:26,INFO,System,Health check status: OK,E101,Health check status: OK
146,2026-01-15,23:31:26,WARN,System,High latency detected from IP 10.0.0.32,E202,High latency detected from IP {ip}
147,2026-01-15,23:32:54,CRITICAL,InventoryDB,Connection refused to database InventoryDB at 10.0.0.32,E501,Connection refused to database InventoryDB at {ip}
148,2026-01-15,23:33:17,CRITICAL,InventoryDB,Connection refused to database InventoryDB at 10.0.0.32,E501,Connection refused to database InventoryDB at {ip}
149,2026-01-15,23:34:09,CRITICAL,InventoryDB,Connection refused to database InventoryDB at 10.0.0.49,E501,Connection refused to database InventoryDB at {ip}
150,2026-01-15,23:34:27,WARN,System,High latency detected from IP 10.0.0.32,E202,High latency detected from IP {ip}
151,2026-01-15,23:35:55,CRITICAL,InventoryDB,Connection refused to database InventoryDB at 10.0.0.32,E501,Connection refused to database InventoryDB at {ip}
152,2026-01-15,23:36:06,WARN,System,High latency detected from IP 10.0.0.32,E202,High latency detected from IP {ip}
153,2026-01-15,23:38:01,CRITICAL,InventoryDB,Connection refused to database InventoryDB at 10.0.0.49,E501,Connection refused to database InventoryDB at {ip}
154,2026-01-15,23:38:39,CRITICAL,InventoryDB,Connection refused to database InventoryDB at 10.0.0.49,E501,Connection refused to database InventoryDB at {ip}
155,2026-01-15,23:40:31,INFO,System,Health check status: OK,E101,Health check status: OK
156,2026-01-15,23:42:23,CRITICAL,InventoryDB,Connection refused to database InventoryDB at 10.0.0.32,E501,Connection refused to database InventoryDB at {ip}
157,2026-01-15,23:43:33,CRITICAL,InventoryDB,Connection refused to database InventoryDB at 10.0.0.32,E501,Connection refused to database InventoryDB at {ip}
158,2026-01-15,23:45:24,INFO,System,Health check status: OK,E101,Health check status: OK
159,2026-01-15,23:46:35,INFO,System,Health check status: OK,E101,Health check status: OK
160,2026-01-15,23:46:53,CRITICAL,InventoryDB,Connection refused to database InventoryDB at 10.0.0.99,E501,Connection refused to database InventoryDB at {ip}
161,2026-01-15,23:47:32,CRITICAL,InventoryDB,Connection refused to database InventoryDB at 10.0.0.49,E501,Connection refused to database InventoryDB at {ip}
162,2026-01-15,23:47:39,CRITICAL,InventoryDB,Connection refused to database InventoryDB at 10.0.0.32,E501,Connection refused to database InventoryDB at {ip}
163,2026-01-15,23:49:18,WARN,System,High latency detected from IP 10.0.0.32,E202,High latency detected from IP {ip}
164,2026-01-15,23:50:37,CRITICAL,InventoryDB,Connection refused to database InventoryDB at 10.0.0.49,E501,Connection refused to database InventoryDB at {ip}
165,2026-01-15,23:51:32,WARN,System,High latency detected from IP 10.0.0.32,E202,High latency detected from IP {ip}
166,2026-01-15,23:51:34,INFO,System,Health check status: OK,E101,Health check status: OK
167,2026-01-15,23:52:13,CRITICAL,InventoryDB,Connection refused to database InventoryDB at 10.0.0.49,E501,Connection refused to database InventoryDB at {ip}
168,2026-01-15,23:53:20,INFO,System,Health check status: OK,E101,Health check status: OK
169,2026-01-15,23:53:59,CRITICAL,InventoryDB,Connection refused to database InventoryDB at 10.0.0.32,E501,Connection refused to database InventoryDB at {ip}
170,2026-01-15,23:54:06,CRITICAL,InventoryDB,Connection refused to database InventoryDB at 10.0.0.32,E501,Connection refused to database InventoryDB at {ip}
171,2026-01-15,23:55:06,WARN,System,High latency detected from IP 10.0.0.32,E202,High latency detected from IP {ip}
172,2026-01-15,23:55:10,INFO,System,Health check status: OK,E101,Health check status: OK
173,2026-01-15,23:55:51,CRITICAL,InventoryDB,Connection refused to database InventoryDB at 10.0.0.17,E501,Connection refused to database InventoryDB at {ip}
174,2026-01-15,23:57:20,ERROR,AuthService,AuthService unavailable: 503 Service Unavailable,E503,AuthService unavailable: 503 Service Unavailable
175,2026-01-15,23:58:51,CRITICAL,InventoryDB,Connection refused to database InventoryDB at 10.0.0.32,E501,Connection refused to database InventoryDB at {ip}
176,2026-01-16,00:00:15,WARN,System,High latency detected from IP 10.0.0.32,E202,High latency detected from IP {ip}
177,2026-01-16,00:01:09,WARN,System,High latency detected from IP 10.0.0.32,E202,High latency detected from IP {ip}
178,2026-01-16,00:03:01,WARN,System,High latency detected from IP 10.0.0.49,E202,High latency detected from IP {ip}
179,2026-01-16,00:04:00,ERROR,AuthService,AuthService unavailable: 503 Service Unavailable,E503,AuthService unavailable: 503 Service Unavailable
180,2026-01-16,00:04:30,CRITICAL,InventoryDB,Connection refused to database InventoryDB at 10.0.0.32,E501,Connection refused to database InventoryDB at {ip}
181,2026-01-16,00:06:07,INFO,System,Health check status: OK,E101,Health check status: OK
182,2026-01-16,00:07:23,CRITICAL,InventoryDB,Connection refused to database InventoryDB at 10.0.0.32,E501,Connection refused to database InventoryDB at {ip}
183,2026-01-16,00:08:32,WARN,System,High latency detected from IP 10.0.0.32,E202,High latency detected from IP {ip}
184,2026-01-16,00:10:03,CRITICAL,InventoryDB,Connection refused to database InventoryDB at 10.0.0.32,E501,Connection refused to database InventoryDB at {ip}
185,2026-01-16,00:11:05,INFO,System,Health check status: OK,E101,Health check status: OK
186,2026-01-16,00:12:07,WARN,System,High latency detected from IP 10.0.0.32,E202,High latency detected from IP {ip}
187,2026-01-16,00:12:19,INFO,System,Health check status: OK,E101,Health check status: OK
188,2026-01-16,00:12:29,WARN,System,High latency detected from IP 10.0.0.32,E202,High latency detected from IP {ip}
189,2026-01-16,00:13:20,CRITICAL,InventoryDB,Connection refused to database InventoryDB at 10.0.0.32,E501,Connection refused to database InventoryDB at {ip}
190,2026-01-16,00:14:20,ERROR,AuthService,AuthService unavailable: 503 Service Unavailable,E503,AuthService unavailable: 503 Service Unavailable
191,2026-01-16,00:16:13,CRITICAL,InventoryDB,Connection refused to database InventoryDB at 10.0.0.32,E501,Connection refused to database InventoryDB at {ip}
192,2026-01-16,00:16:34,CRITICAL,InventoryDB,Connection refused to database InventoryDB at 10.0.0.32,E501,Connection refused to database InventoryDB at {ip}
193,2026-01-16,00:18:07,WARN,System,High latency detected from IP 10.0.0.32,E202,High latency detected from IP {ip}
194,2026-01-16,00:19:56,ERROR,AuthService,AuthService unavailable: 503 Service Unavailable,E503,AuthService unavailable: 503 Service Unavailable
195,2026-01-16,00:21:35,CRITICAL,InventoryDB,Connection refused to database InventoryDB at 10.0.0.32,E501,Connection refused to database InventoryDB at {ip}
196,2026-01-16,00:22:27,INFO,System,Health check status: OK,E101,Health check status: OK
197,2026-01-16,00:23:59,WARN,System,High latency detected from IP 10.0.0.32,E202,High latency detected from IP {ip}
198,2026-01-16,00:25:30,ERROR,AuthService,AuthService unavailable: 503 Service Unavailable,E503,AuthService unavailable: 503 Service Unavailable
199,2026-01-16,00:26:19,WARN,System,High latency detected from IP 10.0.0.32,E202,High latency detected from IP {ip}
200,2026-01-16,00:27:21,CRITICAL,InventoryDB,Connection refused to database InventoryDB at 10.0.0.32,E501,Connection refused to database InventoryDB at {ip}
201,2026-01-16,00:28:58,CRITICAL,InventoryDB,Connection refused to database InventoryDB at 10.0.0.32,E501,Connection refused to database InventoryDB at {ip}
202,2026-01-16,00:30:35,CRITICAL,InventoryDB,Connection refused to database InventoryDB at 10.0.0.32,E501,Connection refused to database InventoryDB at {ip}
203,2026-01-16,00:31:13,WARN,System,High latency detected from IP 10.0.0.32,E202,High latency detected from IP {ip}
204,2026-01-16,00:32:31,WARN,System,High latency detected from IP 10.0.0.32,E202,High latency detected from IP {ip}
205,2026-01-16,00:34:00,CRITICAL,InventoryDB,Connection refused to database InventoryDB at 10.0.0.32,E501,Connection refused to database InventoryDB at {ip}
206,2026-01-16,00:35:31,INFO,System,Health check status: OK,E101,Health check status: OK
207,2026-01-16,00:37:25,CRITICAL,InventoryDB,Connection refused to database InventoryDB at 10.0.0.32,E501,Connection refused to database InventoryDB at {ip}
208,2026-01-16,00:39:06,WARN,System,High latency detected from IP 10.0.0.17,E202,High latency detected from IP {ip}
209,2026-01-16,00:39:23,ERROR,AuthService,AuthService unavailable: 503 Service Unavailable,E503,AuthService unavailable: 503 Service Unavailable
210,2026-01-16,00:40:19,ERROR,AuthService,AuthService unavailable: 503 Service Unavailable,E503,AuthService unavailable: 503 Service Unavailable
211,2026-01-16,00:41:04,CRITICAL,InventoryDB,Connection refused to database InventoryDB at 10.0.0.8,E501,Connection refused to database InventoryDB at {ip}
212,2026-01-16,00:41:46,INFO,System,Health check status: OK,E101,Health check status: OK
213,2026-01-16,00:42:00,INFO,System,Health check status: OK,E101,Health check status: OK
214,2026-01-16,00:43:19,CRITICAL,InventoryDB,Connection refused to database InventoryDB at 10.0.0.32,E501,Connection refused to database InventoryDB at {ip}
215,2026-01-16,00:43:46,ERROR,AuthService,AuthService unavailable: 503 Service Unavailable,E503,AuthService unavailable: 503 Service Unavailable
216,2026-01-16,00:45:42,CRITICAL,InventoryDB,Connection refused to database InventoryDB at 10.0.0.8,E501,Connection refused to database InventoryDB at {ip}
217,2026-01-16,00:45:43,ERROR,AuthService,AuthService unavailable: 503 Service Unavailable,E503,AuthService unavailable: 503 Service Unavailable
218,2026-01-16,00:46:02,WARN,System,High latency detected from IP 10.0.0.32,E202,High latency detected from IP {ip}
219,2026-01-16,00:47:33,WARN,System,High latency detected from IP 10.0.0.32,E202,High latency detected from IP {ip}
220,2026-01-16,00:48:07,INFO,System,Health check status: OK,E101,Health check status: OK
221,2026-01-16,00:49:19,ERROR,AuthService,AuthService unavailable: 503 Service Unavailable,E503,AuthService unavailable: 503 Service Unavailable
222,2026-01-16,00:50:36,CRITICAL,InventoryDB,Connection refused to database InventoryDB at 10.0.0.32,E501,Connection refused to database InventoryDB at {ip}
223,2026-01-16,00:52:04,CRITICAL,InventoryDB,Connection refused to database InventoryDB at 10.0.0.32,E501,Connection refused to database InventoryDB at {ip}
224,2026-01-16,00:53:26,INFO,System,Health check status: OK,E101,Health check status: OK
225,2026-01-16,00:55:04,ERROR,AuthService,AuthService unavailable: 503 Service Unavailable,E503,AuthService unavailable: 503 Service Unavailable
226,2026-01-16,00:55:20,WARN,System,High latency detected from IP 10.0.0.32,E202,High latency detected from IP {ip}
227,2026-01-16,00:56:18,INFO,System,Health check status: OK,E101,Health check status: OK
228,2026-01-16,00:57:22,INFO,System,Health check status: OK,E101,Health check status: OK
229,2026-01-16,00:59:03,INFO,System,Health check status: OK,E101,Health check status: OK
230,2026-01-16,01:00:38,INFO,System,Health check status: OK,E101,Health check status: OK
231,2026-01-16,01:01:44,CRITICAL,InventoryDB,Connection refused to database InventoryDB at 10.0.0.32,E501,Connection refused to database InventoryDB at {ip}
232,2026-01-16,01:02:26,ERROR,AuthService,AuthService unavailable: 503 Service Unavailable,E503,AuthService unavailable: 503 Service Unavailable
233,2026-01-16,01:04:04,CRITICAL,InventoryDB,Connection refused to database InventoryDB at 10.0.0.32,E501,Connection refused to database InventoryDB at {ip}
